MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
366874110,2023-06-30T04:23:52,29.31232,-94.80421,0.0,302.8,511.0,PETITE,IMO8769810,WDB2268,90,0,22,17,1.7,99,A
368611000,2023-06-30T04:24:16,29.29541,-94.85739,0.0,360.0,511.0,NEPTUNE,,WDG5258,90,5,32,7,,70,A
368145870,2023-06-30T04:23:50,29.17486,-95.10392,1.9,257.1,511.0,LILLIANNE D,,WDL5939,57,12,123,34,3.1,57,A
367500410,2023-06-30T04:23:31,29.04722,-95.22358,4.7,201.8,198.0,RICHARD J DEVALL,,WDF8965,31,12,17,6,,31,A
367666920,2023-06-30T04:24:26,29.24227,-95.01338,4.7,57.0,51.0,BILL SEYMOUR,,WDH9328,31,12,27,,,31,A
367113150,2023-06-30T04:25:00,29.16712,-95.12354,6.2,235.9,237.0,CHRIS PIKE,,WDD2269,31,0,26,9,,31,A
366874110,2023-06-30T04:25:03,29.31231,-94.80421,0.0,302.2,511.0,PETITE,IMO8769810,WDB2268,90,0,22,17,1.7,99,A
367473550,2023-06-30T04:25:35,29.30251,-94.88247,5.8,35.0,511.0,ST CHARLES,,WDF6371,31,12,23,10,,52,A
368052580,2023-06-30T04:25:16,29.30655,-94.82493,0.0,349.4,206.0,WOOD RIVER,IMO101233527,WDK4175,57,12,114,34,3.0,57,A
368071410,2023-06-30T04:26:04,29.11778,-95.18938,3.4,226.1,228.0,BILLY CENAC,,WDK6121,52,12,21,11,3.0,52,A
368145870,2023-06-30T04:25:01,29.17478,-95.10436,0.5,260.3,511.0,LILLIANNE D,,WDL5939,57,12,123,34,3.1,57,A
366812000,2023-06-30T04:25:18,29.29490,-94.85791,0.0,360.0,511.0,BRUTUS,,WDG5253,90,5,30,7,,70,A
368148180,2023-06-30T04:25:13,29.30764,-94.82127,0.0,201.1,194.0,KAMI RENEE,,WDL6178,52,12,22,10,3.3,52,A
366845060,2023-06-30T04:23:25,29.31224,-94.80236,0.0,312.3,511.0,ASHTON T,,WDIJ,90,5,28,7,,60,A
366845050,2023-06-30T04:25:10,29.31227,-94.80253,0.1,309.1,511.0,ERIN T,,WDII,60,0,29,7,,40,A
368148180,2023-06-30T04:26:24,29.30765,-94.82133,0.0,201.1,194.0,KAMI RENEE,,WDL6178,52,12,22,10,3.3,52,A
368148180,2023-06-30T04:24:03,29.30766,-94.82135,0.0,201.1,194.0,KAMI RENEE,,WDL6178,52,12,22,10,3.3,52,A
367157150,2023-06-30T04:25:52,29.29400,-94.85768,0.0,245.9,511.0,RMS CITATION,IMO8033584,WDG5250,90,5,50,12,3.4,25,A
367666920,2023-06-30T04:26:55,29.24445,-95.01062,4.9,47.6,50.0,BILL SEYMOUR,,WDH9328,31,12,27,,,31,A
367500410,2023-06-30T04:24:41,29.04577,-95.22422,4.8,201.7,197.0,RICHARD J DEVALL,,WDF8965,31,12,17,6,,31,A
367530790,2023-06-30T04:26:31,29.28446,-94.85683,0.0,144.0,511.0,DR DARK,,WDG3896,37,,20,,,,B
367690010,2023-06-30T04:26:32,29.16391,-95.12837,4.5,58.3,55.0,CAPT PRIMEAUX,,WDI3600,31,12,23,,,57,A
338245332,2023-06-30T04:27:15,29.28346,-94.85558,0.0,360.0,511.0,RUBAIYAT,IMO0000000,,37,,12,4,,,B
368926309,2023-06-30T04:24:59,29.31272,-94.81783,0.0,298.2,511.0,R/V MANTA,,WZ 2603,0,5,30,12,1.5,0,A
338744000,2023-06-30T04:26:19,29.29495,-94.85720,0.0,360.0,511.0,HERCULES,,WDG5248,90,5,32,7,,70,A
366884150,2023-06-30T04:24:12,29.30527,-94.81893,0.0,269.7,195.0,MARTIN EXPRESS,IMO8644448,WDB3169,31,12,16,6,,57,A
367690010,2023-06-30T04:28:04,29.16503,-95.12656,4.5,53.4,53.0,CAPT PRIMEAUX,,WDI3600,31,12,23,,,57,A
338168501,2023-06-30T04:24:06,29.29422,-94.85709,0.0,283.0,511.0,HPA FIREBOAT 3,,,90,0,,,,51,A
366874110,2023-06-30T04:27:22,29.31233,-94.80422,0.0,304.4,511.0,PETITE,IMO8769810,WDB2268,90,0,22,17,1.7,99,A
367666920,2023-06-30T04:25:46,29.24341,-95.01193,4.7,48.4,50.0,BILL SEYMOUR,,WDH9328,31,12,27,,,31,A
365973420,2023-06-30T04:24:24,29.29337,-94.88807,7.6,31.1,511.0,CHARLES ALFRED,,WYU9726,31,0,16,6,0.0,31,A
365973420,2023-06-30T04:25:36,29.29557,-94.88673,7.6,26.9,511.0,CHARLES ALFRED,,WYU9726,31,0,16,6,0.0,31,A
366845060,2023-06-30T04:26:24,29.31224,-94.80237,0.0,315.1,511.0,ASHTON T,,WDIJ,90,5,28,7,,60,A
368073280,2023-06-30T04:23:52,29.32465,-94.85266,5.7,51.8,48.0,RYDER JAMES DEVALL,,WDK6308,0,15,0,0,0.0,0,A
368119840,2023-06-30T04:24:30,29.28352,-94.85722,0.0,35.3,65.0,WRAPPED UP,IMO0000000,,37,,0,0,,,B
368071410,2023-06-30T04:24:55,29.11857,-95.18848,3.4,225.0,229.0,BILLY CENAC,,WDK6121,52,12,21,11,3.0,52,A
368145870,2023-06-30T04:26:10,29.17481,-95.10457,0.5,285.7,511.0,LILLIANNE D,,WDL5939,57,12,123,34,3.1,57,A
368073280,2023-06-30T04:25:03,29.32586,-94.85105,5.6,52.4,52.0,RYDER JAMES DEVALL,,WDK6308,0,15,0,0,0.0,0,A
366884150,2023-06-30T04:26:43,29.30525,-94.81893,0.0,264.0,192.0,MARTIN EXPRESS,IMO8644448,WDB3169,31,12,16,6,,57,A
368052580,2023-06-30T04:26:28,29.30652,-94.82494,0.0,349.4,206.0,WOOD RIVER,IMO101233527,WDK4175,57,12,114,34,3.0,57,A
367125100,2023-06-30T04:25:33,29.32236,-94.85649,5.4,228.8,511.0,CAPT TOM ECHOLS SR,,WDC3771,31,12,20,7,,31,A
367008450,2023-06-30T04:25:06,29.23308,-95.02487,4.7,219.0,511.0,CAPT HERBERT,,WRG8848,31,0,19,7,,52,A
365973420,2023-06-30T04:26:45,29.29778,-94.88542,7.5,29.7,511.0,CHARLES ALFRED,,WYU9726,31,0,16,6,0.0,31,A
367500410,2023-06-30T04:28:10,29.04150,-95.22600,4.7,201.7,198.0,RICHARD J DEVALL,,WDF8965,31,12,17,6,,31,A
367016010,2023-06-30T04:26:45,29.31200,-94.80334,0.0,360.0,511.0,HENRY T,,WDC3903,31,0,15,7,,31,A
367771000,2023-06-30T04:24:30,29.30842,-94.80833,0.0,127.3,92.0,INNOVATION,IMO9542594,WDF4831,31,5,41,12,5.8,57,A
367016010,2023-06-30T04:24:16,29.31200,-94.80335,0.0,360.0,511.0,HENRY T,,WDC3903,31,0,15,7,,31,A
366874110,2023-06-30T04:26:13,29.31232,-94.80426,0.0,303.6,511.0,PETITE,IMO8769810,WDB2268,90,0,22,17,1.7,99,A
367008450,2023-06-30T04:28:26,29.22942,-95.02772,4.8,210.0,511.0,CAPT HERBERT,,WRG8848,31,0,19,7,,52,A
367125100,2023-06-30T04:26:43,29.32119,-94.85796,5.1,231.0,511.0,CAPT TOM ECHOLS SR,,WDC3771,31,12,20,7,,31,A
