MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
366982000,2023-06-19T16:02:29,29.10413,-89.27244,11.7,26.0,29.0,WHEELER,IMO7923184,AEQZ,90,3,124,23,9.0,33,A
367542650,2023-06-19T16:03:07,29.17892,-89.25827,0.0,83.6,244.0,RIVER PILOT,,WDG5036,50,15,,,,50,A
636018377,2023-06-19T16:02:23,28.87148,-89.31323,0.1,197.0,260.0,BULK CONCORD,IMO9516387,A8RG2,70,1,225,32,12.9,70,A
357454000,2023-06-19T16:02:22,29.02847,-89.33313,13.6,39.7,39.0,DS VECTOR,IMO9203289,H3YO,80,0,332,58,22.0,70,A
366982000,2023-06-19T16:03:39,29.10758,-89.27050,11.7,26.0,29.0,WHEELER,IMO7923184,AEQZ,90,3,124,23,9.0,33,A
367564890,2023-06-19T16:03:49,29.07647,-88.95278,1.6,220.6,511.0,GO QUEST,IMO8987876,WDG7201,90,0,44,10,2.3,70,A
367666110,2023-06-19T16:04:39,29.15689,-89.18648,8.2,60.5,511.0,JAX,,WDH9245,31,0,11,7,,31,A
311000138,2023-06-19T16:03:32,29.17695,-89.26113,8.5,158.0,157.0,PGC MARINA,IMO9299563,C6AS5,80,0,228,32,14.0,80,A
367525000,2023-06-19T16:02:16,29.15348,-89.25640,1.6,4.4,6.0,PADRE ISLAND,IMO8101783,WDB4436,90,3,85,15,5.3,33,A
367005130,2023-06-19T16:02:44,28.94133,-89.11737,4.4,230.1,511.0,GULF DAWN,IMO6709725,WCY2448,31,11,29,8,3.3,0,A
636018488,2023-06-19T16:02:53,28.89615,-89.34272,0.1,332.3,240.0,DZ YANTAI,IMO9247405,D5PX3,70,1,143,22,5.1,70,A
368270430,2023-06-19T16:02:23,29.13416,-88.93821,8.3,202.9,203.0,GO TRAVELER,IMO937096500,WDN3308,0,0,0,0,3.0,0,A
367542650,2023-06-19T16:05:38,29.17892,-89.25829,0.0,67.5,243.0,RIVER PILOT,,WDG5036,50,15,,,,50,A
367783120,2023-06-19T16:03:30,29.03954,-88.97628,4.9,41.6,511.0,GO PATRIOT,IMO8987852,WDJ4988,90,0,39,10,3.0,90,A
311000138,2023-06-19T16:02:23,29.17945,-89.26223,8.4,159.0,157.0,PGC MARINA,IMO9299563,C6AS5,80,0,228,32,14.0,80,A
